新MJ_ID	新unicode	新note	旧MJ_ID	旧unicode 旧note
MJ008038	台	台の旧字(B);音：イ・タイ;意味：よろこぶ。;なりたち：教育漢字は、俗に台を臺の略字として用いていたものによる。	MJ021314	臺	台の旧字(A);音：タイ・ダイ;意味：うてな。
MJ008114	吸		MJ008113	missing
MJ008032	叫		MJ008031	missing
MJ008070	吏		MJ008071	missing
MJ008135	呉		MJ008108	吳
MJ008136	告		MJ008122	吿
MJ008133	呈	なりたち：常用漢字は、もと、狂の古字で、呈(MJ008132)の俗字として用いられていたものによる。	MJ008132	missing
MJ021346	舎	なりたち：教育漢字は俗字による。	MJ021345	舍
MJ021677	若		MJ021679	missing
MJ008159	周		MJ008158	missing
MJ008236	咲	なりたち：笑の本字。※(口＋芺)と書くべきもの。;意味：わらう。;国：さく。花が開く。	MJ008235	missing
MJ008370	啄		MJ008371	missing
MJ008326	唐		MJ008325	missing
MJ008468	喝	なりたち：常用漢字は省略形による。	MJ030250	喝
MJ008392	啓		MJ008391	missing
MJ008376	商		MJ008377	missing
MJ008500	営	なりたち：教育漢字は省略形による。	MJ016645	營
MJ008486	喫		MJ008488	missing
MJ007857	単	なりたち：教育漢字は、省略形による。	MJ008491	單
MJ008578	嘆	なりたち：常用漢字は省略形による。	MJ030251	嘆
MJ008683	器	なりたち：教育漢字は省略形による。	MJ030252	器
MJ008621	嘱	なりたち：常用漢字は俗字による。	MJ008806	囑
MJ008699	噴	なりたち：常用漢字は、省略形による。	MJ008698	missing
MJ021361	舗	なりたち：教育漢字は、さらに舎の字形に改めたものによる。	MJ021360	舖	なりたち：もと、鋪の俗字。
MJ007967	厳	なりたち：教育漢字は省略形による。	MJ008773	嚴
MJ008826	団	なりたち：教育漢字は省略形による。	MJ008885	團
MJ008841	囲	なりたち：教育漢字は俗字による。	MJ008868	圍
MJ008842	図	なりたち：教育漢字は省略形による。	MJ008880	圖
MJ008851	国	なりたち：教育漢字は俗字の囯に点を加えたもの。	MJ008866	國
MJ008873	圏		MJ008861	圈
MJ007305	円	なりたち：教育漢字は省略形による。	MJ008877	圓
MJ008901	圧	なりたち：教育漢字は省略形による。	MJ009353	壓
MJ008967	坪		MJ008966	missing
MJ009062	城	なりたち：教育漢字は省略形による。	MJ009063	missing
MJ009114	培		--------	missing	入力者註：正確には※(立の一画目が横棒の培)
MJ010316	尭	なりたち：人名漢字は省略形による。	MJ009166	堯
MJ009139	堕	なりたち：常用漢字は省略形による。	MJ009309	墮
MJ009215	塚	なりたち：常用漢字は旧字の一点を省いたもの。;（参考）※(塜に点がある字)は別字。	MJ030194	塚	なりたち：旧字は、もと、冢の俗字。
MJ009205	塔		MJ009206	missing
MJ009191	塁	なりたち：常用漢字は省略形による。	MJ009359	壘
MJ009190	塀		MJ030253	塀
MJ009202	塑		MJ009201	missing
MJ009279	墓		MJ009280	missing
MJ009259	境		MJ009260	missing
MJ009284	増	なりたち：教育漢字は俗字による。	MJ009289	增
MJ009301	墨	なりたち：常用漢字は俗字による。	MJ030254	墨
MJ009286	墜		MJ009285	missing
MJ009315	墳	なりたち：常用漢字は省略形による。	MJ057244	missing
MJ009341	壊	なりたち：常用漢字は省略形による。	MJ009367	壞
MJ009342	壌	なりたち：常用漢字は省略形による。	MJ009376	壤
MJ009385	壮	なりたち：常用漢字は省略形による。	MJ009386	壯
MJ009388	壱	なりたち：常用漢字は俗字による。;（参考）証書類では、文字の改変を防ぐために一にかえて用いる。	MJ009397	壹
MJ010260	寿	なりたち：常用漢字は省略形による。	MJ009401	壽
MJ009446	夢		MJ009447	missing
MJ009497	奔		MJ009498	missing
MJ009491	契		MJ009493	missing
MJ009524	奥	なりたち：常用漢字は省略形による。	MJ009527	奧
MJ009528	奨	なりたち：常用漢字は省略形による。	MJ009534	奬	なりたち：旧字は、獎の俗字。
MJ009564	妄		MJ009563	missing
MJ009599	妥		MJ009598	missing
MJ009691	姿		MJ009690	missing
MJ009669	姫	なりたち：常用漢字は、もと別字であるが、姬(MJ009670)の省略形として採用された。	MJ009670	姬
MJ009741	娯		MJ009717	娛
MJ009797	婦		MJ009796	missing
MJ009852	媛		MJ009851	missing
MJ009822	婿	なりたち：常用漢字は別体字による。	MJ009399	壻
MJ009910	嫌		MJ009909	missing
MJ009932	嫡		MJ009933	missing
MJ009999	嬢	なりたち：常用漢字は省略形による。	MJ010038	孃
MJ010075	学	なりたち：教育漢字は省略形による。	MJ010095	學
MJ010073	孤		MJ010072	missing
MJ010137	実	なりたち：教育漢字は省略形による。	MJ010229	實
MJ010135	宝	なりたち：教育漢字は俗字による。	MJ010251	寶
MJ010160	害		MJ010161	missing
MJ010164	宵		MJ010163	missing
MJ010213	寛	なりたち：常用漢字は省略形による。	MJ010237	寬
MJ010216	寝	なりたち：㝲ができ、それが省略されて寢、さらに寝となった。	MJ010222	寢	なりたち：㝲ができ、それが省略されて寢、さらに寝となった。
MJ010231	寧		MJ010230	寧
MJ007332	写	なりたち：教育漢字は俗字※(MJ057031)の省略形による。	MJ010235	寫
MJ010258	対	なりたち：教育漢字は省略形による。	MJ010281	對
MJ010263	専	なりたち：教育漢字は省略形による。	MJ010273	專
MJ010269	将	なりたち：教育漢字は省略形による。	MJ010271	將
MJ010279	尋		MJ010278	missing
MJ010276	尊		MJ010275	missing	入力者註：正確には※(glyphwiki u5c0a-ue0101)
MJ010282	導	なりたち：教育漢字は省略形による。	MJ010283	missing
MJ010296	尚		MJ010294	尙
MJ010347	届		MJ010342	屆
MJ010371	属	なりたち：教育漢字は省略形の俗字による。	MJ010386	屬
MJ010378	層	なりたち：教育漢字は省略形による。	MJ030255	層
MJ010454	岳	なりたち：古くから岳が嶽の古字とされている 常用漢字では岳を用いる。	MJ010724	嶽
MJ010498	峡	なりたち：常用漢字は省略形の俗字による。	MJ010526	峽
MJ010574	崩		MJ010573	missing
MJ010741	巌	なりたち：人名漢字は省略形による。	MJ010754	巖
MJ010777	巨	なりたち：常用漢字は省略形による。	MJ010776	missing
MJ010810	帆		--------	missing	入力者註：正確には※(glyphwiki aj1-13987)
MJ010833	帝		MJ010834	missing
MJ010854	帯	なりたち：教育漢字は省略形による。	MJ010862	帶
MJ010868	帽		MJ010867	missing
MJ028385	飾		MJ028386	missing
MJ010897	幕		MJ010898	missing
MJ010917	幣		MJ010916	missing
MJ010943	平		MJ010942	missing
MJ010958	幾		MJ057437	missing
MJ010963	広	なりたち：教育漢字は省略形の俗字による。	MJ011077	廣
MJ010961	庁	なりたち：碑に用いる石材の意を表したが、俗に廳の略字として用いられていた。教育漢字はこれによる。	MJ011097	廳
MJ011006	庭		MJ011005	missing	入力者註：正確には※(glyphwiki u5ead-var-001 壬でなく𡈼)
MJ011032	廃	なりたち：常用漢字は省略形による。	MJ011074	廢	入力者註：正確には※(glyphwiki u5ee2-var-001)
MJ011040	廊		MJ030184	廊
MJ011039	廉		MJ011038	missing
MJ011104	廷	（参考）延は別字。	MJ011103	missing	入力者註：正確には※(glyphwiki u5ef7-var-001)
MJ011101	延		MJ011100	missing
MJ011111	建		MJ011110	missing
MJ011124	弁	弁の旧字(A);なりたち：㝸(MJ034205)の別体。教育漢字では、辨・瓣・辯の意に用いる。	MJ025739	辨	弁の旧字(B);なりたち：本字は辧(MJ025738)。意味：切って分ける。明らかにする。
MJ017535	瓣	弁の旧字(C);意味：「花瓣」「安全瓣」	MJ025745	辯	弁の旧字(D);意味：説きあかす。いさめる。口だっしゃ。
MJ011137	弊	なりたち：もと、獘と書いた。	MJ011136	missing
MJ011173	弥	なりたち：人名漢字は俗字による。	MJ011219	彌
MJ011178	弧		MJ011177	missing
MJ011191	弱		MJ011190	missing
MJ011196	強	なりたち：教育漢字は篆文の形による。	MJ011199	强	なりたち：もと、かたいからをかぶった虫、こくぞう虫の意を表わしたが、のち、もっぱら彊の意に用いる。
MJ011203	弾	なりたち：常用漢字は省略形による。	MJ011215	彈
MJ011258	彦		MJ011257	彥
MJ011261	彩		MJ011260	missing
MJ011267	彫		MJ011266	missing
MJ011272	彰		MJ011273	missing
MJ011289	往		MJ011290	missing
MJ011294	径	なりたち：教育漢字は省略形の俗字による。	MJ011309	徑
MJ011312	従	なりたち：教育漢字は省略形による。	MJ011321	從
MJ011326	御		MJ011324	missing
MJ011343	微		MJ011342	missing
MJ011352	徴	なりたち：常用漢字は省略形による。	MJ011354	徵	入力者註：正確には※(glyphwiki u5fb5-var-003)
MJ011351	徳	なりたち：教育漢字は省略形による。	MJ011357	德	なりたち：もと、儀式の場所にのぼる意を表わしたが、のち、悳の意に用いられている。
MJ011398	応	なりたち：教育漢字は省略形による。	MJ011979	應
MJ011379	忍		MJ011378	missing
MJ011393	忘		MJ011392	missing
MJ011395	忙		MJ011394	missing
MJ011473	急		MJ011472	missing
MJ011515	恐		MJ057504	missing	入力者註：正確には※(glyphwiki u5de9-03-var-002 ＋心)
MJ011561	恵	なりたち：常用漢字は省略形による。	MJ011682	惠
MJ011517	恒	なりたち：常用漢字は俗字による。	MJ011505	恆
MJ011510	恋	なりたち：常用漢字は省略形の俗字による。	MJ012047	戀
MJ011616	悦		MJ011574	悅
MJ011621	悪	なりたち：教育漢字は省略形による。	MJ011683	惡
MJ011620	悩	なりたち：常用漢字は省略形による。	MJ011696	惱
MJ011692	惨	なりたち：常用漢字は省略形による。	MJ011825	慘
MJ011648	情		MJ011647	missing
MJ011733	意		MJ011734	missing
MJ011810	慌		MJ011811	missing
