新MJ_ID	新unicode	新note	旧MJ_ID	旧unicode 旧note
MJ017013	献	なりたち：常用漢字は省略形の俗字による。	MJ017102	獻
MJ017023	猶		MJ017022	missing
MJ029903	黙	なりたち：常用漢字は俗字による。	MJ029901	默
MJ017076	獣	なりたち：常用漢字は省略形による。	MJ017098	獸
MJ017091	獲	なりたち：常用漢字は俗字による。	MJ017092	missing
MJ017116	率		MJ017115	missing
MJ007268	全		MJ007267	missing
MJ017282	琢		MJ030271	missing
MJ017352	瑛		MJ017353	missing
MJ017391	瑶		MJ017367	瑤
MJ017465	環		MJ017464	missing
MJ017561	瓶		MJ017572	甁	入力者註：甁(MJ017573)とすべきではないのか？
MJ017622	産		MJ017621	產
MJ017647	画	なりたち：教育漢字は省略形による。	MJ017701	畫
MJ017676	畔		MJ017675	missing
MJ017706	異		MJ017707	missing
MJ017710	畳	なりたち：常用漢字は省略形による。	MJ017734	疊
MJ011230	当	なりたち：教育漢字は省略形の俗字による。	MJ017713	當
MJ017787	病		--------	missing	入力者註：正確には※(glyphwiki aj1-14001 丙)
MJ017832	痴	なりたち：常用漢字は知を音符とした、もと俗字による。	MJ017951	癡
MJ017935	癒		MJ017937	missing
MJ017980	発	なりたち：教育漢字は省略形による。	MJ017982	發
MJ017993	的		MJ017994	missing
MJ018013	皓		MJ018012	missing
MJ018072	盆		MJ018073	missing
MJ018079	益		MJ030209	益
MJ018093	盛	なりたち：教育漢字は省略形による。	MJ018094	missing
MJ010334	尽	なりたち：常用漢字は省略形の俗字による。	MJ018101	盡
MJ018121	盲		MJ018120	missing
MJ007319	冒		MJ007318	missing
MJ018173	真		MJ018170	眞	入力者註：正確には※(眞の左下は曲がり細くなる)
MJ018340	瞳		MJ018341	missing
MJ018331	瞬		MJ018330	missing
MJ018401	矩		MJ018402	missing
MJ018445	研	なりたち：教育漢字は俗字による。	MJ018495	硏
MJ018446	砕	なりたち：常用漢字は省略形による。	MJ018558	碎
MJ018471	砲		MJ018470	missing
MJ018520	硬		MJ018521	missing
MJ018503	硝		MJ018502	missing
MJ018519	硫		MJ018518	missing
MJ018607	磁		MJ018608	missing
MJ018561	碑	なりたち：常用漢字は俗字による。	MJ030272	碑
MJ018655	磨		MJ018654	missing
MJ018661	磯		MJ018662	missing
MJ018750	礼	なりたち：教育漢字は古字礼の変形による。	MJ018965	禮
MJ018753	社		MJ030274	社
MJ018772	祈		MJ030276	祈
MJ018773	祉		MJ030275	祉
MJ018810	祝		MJ030279	祝
MJ018811	神		MJ030211	神
MJ018794	祖		MJ030278	祖
MJ019019	秘	なりたち：教育漢字は、示を禾に誤った俗字による。	MJ018792	祕
MJ018782	祐		MJ030277	祐
MJ013050	斎	なりたち：常用漢字は省略形の俗字による。	MJ030063	齋
MJ018825	祥		MJ030212	祥
MJ018878	禄		MJ018867	祿
MJ018894	禍		MJ030280	禍
MJ018881	禅	なりたち：常用漢字は省略形による。	MJ018954	禪
MJ018895	禎		MJ030281	禎
MJ018896	福		MJ030213	福
MJ019047	称	なりたち：常用漢字は省略形の俗字による。	MJ019118	稱
MJ019079	税		MJ019067	稅
MJ019075	程		MJ019074	missing
MJ019140	穀	なりたち：教育漢字は省略形による。;（参考）榖は別字。	MJ030282	穀
MJ019120	稲	なりたち：常用漢字は省略形の俗字による。	MJ019130	稻
MJ019142	穂	なりたち：常用漢字は省略形による。	MJ019167	穗	なりたち：旧字は𥝩の俗字。
MJ019160	穏	なりたち：常用漢字は省略形による。	MJ019191	穩
MJ019194	穫		MJ019195	missing
MJ019185	穣		MJ019199	穰
MJ019203	穴		MJ019204	missing
MJ019210	空		MJ019211	missing
MJ019221	突	なりたち：常用漢字は省略形による。	MJ030283	突
MJ019223	窃	なりたち：常用漢字は俗字による。	MJ019309	竊
MJ006341	並	なりたち：教育漢字は俗字による。	MJ019328	竝
MJ019332	章		MJ019333	missing
MJ019339	童		MJ019340	missing
MJ027901	靖		MJ030214	靖
MJ019576	節	なりたち：教育漢字は俗字による。	MJ030285	節
MJ019688	簡		MJ043959	𥳑	入力者註：正確には※(glyphwiki u25cd1-var-001 月の横線離す)
MJ019725	簿		MJ019724	missing
MJ019739	籍		MJ019738	missing
MJ019822	粋	なりたち：常用漢字は俗字による。	MJ019870	粹
MJ019819	粉		MJ019820	missing
MJ019875	精		MJ030215	精
MJ019904	糖		MJ019903	missing
MJ019947	糸	糸の旧字(A);音：ベキ;意味：いとすじ。かすか。なりたち：古くから、絲の意に糸を用いることがあった。教育漢字はこれによる。	MJ020109	絲	糸の旧字(B);音：シ;意味：よりいと。いとの総称。きぬ。わずかな分量。
MJ020000	級		MJ020001	missing
MJ019953	糾		MJ019952	missing
MJ019965	約		MJ019966	missing
MJ019981	納		MJ019980	missing
MJ020002	紛		MJ020003	missing
MJ019977	紋		MJ019978	missing
MJ020061	経	なりたち：教育漢字は省略形の俗字による。	MJ020150	經
MJ020047	終		MJ020046	missing
MJ020114	絵	なりたち：教育漢字は俗字による。	MJ020427	繪
MJ020085	絞		MJ020086	missing
MJ020115	絶		MJ020072	絕
MJ020108	統		MJ020107	missing
MJ020160	継	なりたち：常用漢字はその［＝旧字繼の］省略形の俗字による。	MJ020452	繼	なりたち：旧字は、㡭に糸を増し加えたもの。
MJ020161	続	なりたち：教育漢字は省略形の俗字による。	MJ020472	續
MJ020237	緒	なりたち：常用漢字は省略形による。	MJ020239	緖
MJ020233	総	なりたち：教育漢字はもと俗字による。	MJ020371	總
MJ020195	網		MJ020194	missing
MJ020235	緑		MJ020170	綠
MJ020277	練	なりたち：教育漢字は省略形による。	MJ030286	練
MJ020289	縁		MJ020256	緣	入力者註：MJ020255とすべきではないか？
MJ020264	緩		MJ020263	missing
MJ020294	縄	なりたち：常用漢字は俗字による。	MJ020425	繩
MJ020250	締		MJ020251	missing
MJ020262	編		MJ020261	missing
MJ020271	緯		MJ020269	missing
MJ018151	県	なりたち：教育漢字は俗に略字として用いられていたものによる。	MJ020333	縣
MJ020337	縦	なりたち：教育漢字は省略形による。	MJ020353	縱
MJ020320	縛		MJ020319	missing
MJ020376	繁	なりたち：常用漢字はその［＝旧字繁の］省略形による。	MJ030288	繁	なりたち：もと、緐が本字。のちに誤って繁の字形に変わった。
MJ020344	縫		MJ020345	missing
MJ020390	繊	なりたち：常用漢字は俗字纎の省略形による。	MJ020484	纖
MJ020431	繭		MJ020432	missing
MJ020401	織		MJ020402	missing
MJ020498	缶	缶の旧字(A);音：フ;部首解説：「ほとぎ」の意。常用漢字では罐の音・意味に用いる。	MJ020526	罐	缶の旧字(B);音：クヮン;なりたち：常用漢字は、日本で用いられてきた字形による。
MJ020564	署	なりたち：教育漢字は省略形による。	MJ030289	署
MJ020654	羽		MJ030216	羽
MJ020660	翁		MJ020659	missing
MJ020683	習		MJ020682	missing
MJ020676	翌	なりたち：もと、翊に同じ。	MJ020675	missing
MJ020686	翔		MJ020685	missing
MJ020697	翠		MJ020696	missing
MJ020741	翼		MJ020743	missing
MJ020740	翻		MJ020739	missing
MJ020750	耀		MJ020749	missing
MJ020756	者	なりたち：教育漢字は省略形の俗字による。	MJ030290	者
MJ020773	耕		MJ020772	missing
MJ020777	耗		MJ020776	missing
MJ020846	聖		MJ020845	missing
MJ020860	聡	なりたち：人名漢字は俗字による。	MJ020872	聰
MJ009387	声	なりたち：教育漢字は俗に声が聲の略字として用いられていたものによる。	MJ020877	聲
MJ020880	聴	なりたち：常用漢字は省略形による。	MJ020895	聽
MJ020870	聯		MJ020866	聨
MJ020885	職		MJ020886	missing
MJ019840	粛	なりたち：常用漢字は省略形による。	MJ020905	肅
MJ020908	肇		MJ020907	missing
MJ020928	肖		MJ020927	missing
MJ020960	育		MJ020959	missing
MJ020947	肩		MJ020948	missing
MJ020975	胆	胆の旧字(A);なりたち：はだぬぐ意を表わす。但の別体字。	MJ021243	膽	胆の旧字(B);なりたち：「きも」の意を表わす。古くから、膽の俗字として胆が用いられていた。常用漢字はこれによる。
MJ020969	肺	なりたち：教育漢字は音符が市の形に変わったものによる。	MJ020968	missing
MJ021003	胞		MJ021002	missing
MJ021043	脈		MJ021042	missing
MJ021081	脱		MJ021075	脫
MJ021083	脳	なりたち：教育漢字は省略形による。	MJ021141	腦
MJ021151	腰		MJ021152	missing
MJ021203	膜		MJ021204	missing
MJ021269	臓	なりたち：教育漢字は省略形による。	MJ021283	臟
MJ021299	臭	常用漢字は、省略形による。	MJ030291	臭
MJ021307	致	なりたち：常用漢字は夊を攵に書き誤った俗字による。	MJ021306	missing
MJ006310	与	なりたち：常用漢字は與の略字として用いられていた※(与の横線が右に突き出ない)の変形による。	MJ021336	與
MJ021369	舜		MJ021370	missing
MJ021375	舞	入力者註：正確には※(下の舛はMJ021367)	MJ021374	missing
MJ021400	船		MJ021402	missing
MJ021415	艇		MJ021416	missing	入力者註：正確には※(glyphwiki u8247-var-002 壬でなく下が長い)
MJ021478	艶	なりたち：人名漢字は俗字による。	MJ021479	艷
MJ021511	芋		MJ021512	missing
MJ021544	芝		MJ021545	missing
MJ021591	花	なりたち：もと、華の俗字。	MJ021592	missing
MJ021608	芹		MJ021609	missing
MJ021606	芸	なりたち：教育漢字は省略形による。;（参考）芸(MJ021607)は別字。	MJ023069	藝	入力者註：正確には※(丸の曲がりかたを浅く)
MJ021537	芙		MJ021538	missing
MJ021598	芳		MJ021599	missing
MJ021700	英		MJ021701	missing
MJ021634	苑		MJ021636	missing
MJ021743	茄		MJ021744	missing
MJ021616	芽		MJ021615	missing
MJ021681	苦		MJ021682	missing
MJ021763	茎	なりたち：常用漢字は省略形による。	MJ021994	莖
MJ021648	苗		MJ021649	missing
MJ021745	茅		MJ021746	missing
MJ021753	茉		MJ021754	missing
MJ021736	茂		MJ021737	missing
MJ021897	荒		MJ021898	missing
MJ021774	茜		MJ021775	missing
MJ021875	草		MJ021876	missing
MJ021913	荘	なりたち：常用漢字は省略形による。	MJ021971	莊
MJ021834	茶	なりたち：もと、荼と書いた。のちに荼と区別して、ちゃにはもっぱら省略形の茶を用いるようになった。	MJ021835	missing
MJ021934	荷		MJ021935	missing
MJ022150	華		MJ022152	missing
MJ022011	莞		MJ022012	missing
MJ021969	莉		MJ021970	missing
MJ022095	菓		MJ022096	missing
MJ022080	菊		MJ022081	missing
MJ022083	菌		MJ022084	missing
MJ022143	菫		MJ022144	missing
MJ022109	菜		MJ022110	missing
MJ022100	菖		MJ022101	missing
MJ022326	著		MJ022327	著
MJ022212	萌		MJ022213	missing
MJ022395	葵		MJ022396	missing
MJ022248	萩		MJ022249	missing
MJ022378	葬		MJ022379	missing
MJ022301	葉		MJ022302	missing
MJ022282	落		MJ022283	missing
MJ022444	蒔		MJ022445	missing
MJ022506	蒸		MJ022507	missing
MJ022516	蒼		MJ022517	missing
MJ022532	蓄		MJ022533	missing
MJ022543	蓉		MJ022544	missing
MJ022603	蓮		MJ022606	蓮
MJ022713	蔦		MJ022714	missing
MJ022770	蕉		MJ022771	missing
MJ022740	蔵	なりたち：教育漢字は省略形による。	MJ023046	藏
MJ022971	薫	なりたち：常用漢字は省略形による。	MJ022987	薰
MJ022969	薪		MJ022970	missing
MJ022959	薦		MJ022960	missing
MJ022886	薄		MJ022888	missing
MJ022975	薬	なりたち：教育漢字は省略形による。	MJ023087	藥
MJ022800	蕗		MJ022799	missing
MJ023079	藤		MJ023080	missing
MJ023096	藩		MJ023097	missing
MJ023040	藍		MJ023039	missing
MJ023125	藻		MJ023126	missing
MJ023221	蘭		MJ023223	missing
MJ023279	虐		MJ023278	missing
MJ023292	虚		MJ023293	虛
MJ023297	虞		MJ023296	missing
MJ023294	虜		MJ030186	虜
MJ023314	虫	虫の旧字(A);音：キ;意味：まむし。;なりたち：教育漢字は、古くから虫が蟲の略字として用いられていたのによる。	MJ023742	蟲	虫の旧字(B);音：チュウ;意味：むし。
MJ023355	蚕	蚕の旧字(A);音：テン;意味：みみず。;なりたち：教育漢字は、俗に蚕が蠶の略字として用いられていたのによる。	MJ023833	蠶	蚕の旧字(B);音：サン;意味：かいこ。;入力者註：正確には※(上の足は折れず曲がる)
MJ023341	蚊		MJ023342	missing
MJ023414	蛍	なりたち：常用漢字は省略形による。	MJ023654	螢
MJ023453	蛮	常用漢字は省略形の俗字による。	MJ023840	蠻
MJ023871	術		MJ023870	missing
MJ023880	衛	なりたち：もと、䘙(MJ004399)と書いた。衞・衛はその省略形。	MJ023883	衞	なりたち：もと、䘙(MJ004399)と書いた。衞・衛はその省略形。
MJ023901	衰		MJ058692	missing
MJ023988	装	なりたち：教育漢字は省略形による。	MJ024011	裝
MJ024062	褐		MJ030295	褐
MJ024178	襲		MJ024179	missing
MJ024201	要	なりたち：要［旧字(MJ024200)］は変わった形。教育漢字は俗字による。	MJ024200	missing
MJ024207	覆		MJ024208	missing
MJ024210	覇	意味：（もと霸の俗字）	MJ024209	missing
MJ024230	視		MJ030296	視
MJ024234	覚	なりたち：教育漢字は省略形による。	MJ024272	覺
MJ024248	覧	なりたち：教育漢字は省略形による。	MJ024275	覽
MJ024263	観	なりたち：教育漢字は、俗字による。	MJ024279	觀
MJ024306	触	なりたち：常用漢字は省略形の俗字による。	MJ024324	觸
MJ024368	訟		MJ024369	missing
MJ024391	訳	なりたち：教育漢字は省略形の俗字による。	MJ024809	譯
MJ024402	証	証の旧字(B);意味：いさめる（諫）。;なりたち：俗に、借りて證の意に用いる。教育漢字はこれによる。	MJ024755	證	証の旧字(A);意味：あかしをたてる。あかし。
MJ024430	評		MJ024429	missing
MJ024463	該		MJ024464	missing
MJ024517	誠		MJ024518	missing
MJ024490	誉	なりたち：常用漢字は省略形による。	MJ024826	譽
MJ024523	誤		MJ024522	missing
MJ024535	説		MJ024533	說
MJ024536	読	なりたち：教育漢字は省略形による。	MJ024829	讀
MJ024494	認		MJ024493	missing
MJ024651	謁	なりたち：常用漢字は省略形による。	MJ030297	謁
MJ024638	諸	なりたち：教育漢字は省略形による。	MJ030226	諸
MJ024572	請		MJ024571	missing
MJ024646	諾		MJ024647	missing
MJ024503	誕		MJ024504	missing	入力者註：正確には※(延のつくりの左下は角になり折れる)
MJ024559	調		MJ024558	missing
MJ024623	諮		MJ024622	missing
MJ024620	諭		MJ024619	missing
MJ024701	謡	なりたち：常用漢字は省略形による。	MJ024700	謠
MJ024730	謹	なりたち：常用漢字は省略形による。	MJ030298	謹
MJ024687	謙		MJ024686	missing
MJ024694	講		MJ024693	missing
MJ024654	謄		MJ024653	missing
MJ024795	警		MJ024796	missing
MJ024776	識		MJ024777	missing
MJ024782	譜		MJ024783	missing
MJ024819	護	なりたち：教育漢字は省略形による。	MJ024820	missing
MJ024813	譲	なりたち：常用漢字は省略形による。	MJ024852	讓
MJ024894	豊	なりたち：教育漢字は省略形の俗字による。	MJ024900	豐
MJ024999	負		MJ024998	missing
MJ025009	貨		MJ025010	missing
MJ025007	貧		MJ025008	missing
MJ011146	弐	なりたち：常用漢字は古字弍に一画を増したものによる。	MJ025023	貳
MJ025047	資		MJ025046	missing
MJ025069	賛	なりたち：教育漢字は省略形による。	MJ025125	贊
MJ009389	売	なりたち：教育漢字は省略形の俗字による。	MJ025077	賣	（参考）𧶠は別字。
MJ025074	賠		--------	missing	入力者註：正確には※(立の一画目を横棒に)
MJ025062	賓		MJ030300	賓
MJ028223	頼	なりたち：常用漢字は俗字による。	MJ025096	賴
MJ025107	購		MJ025106	missing
MJ025122	贈	なりたち：常用漢字は省略形による。	MJ030301	贈
MJ025178	起	なりたち：教育漢字は己を音符としたものによる。	MJ025179	missing	なりたち：一説に、音符巳が正字という。
MJ025173	赳		MJ025172	missing
MJ025289	距		MJ025288	missing
MJ025317	践	なりたち：常用漢字は俗字による。	MJ025337	踐
MJ025471	躍		MJ025470	missing
MJ025571	転	なりたち：教育漢字は省略形の俗字による。	MJ025689	轉
MJ025599	軽	なりたち：教育漢字は省略形の俗字による。	MJ025626	輕
MJ025605	較		MJ025606	missing
MJ025669	輸	なりたち：教育漢字は俗字による。	MJ025668	missing
MJ025683	轄		MJ025684	missing
MJ025729	辞	なりたち：教育漢字は俗字による。	MJ025742	辭
MJ025758	辺	なりたち：教育漢字は俗字による。	MJ026200	邊	なりたち：旧字は、もと、※(彳臱)と書いた。
MJ025762	込		MJ025763	missing
MJ010767	巡		MJ010768	missing
MJ025779	迅		MJ025780	missing
MJ025798	近		MJ025799	missing
MJ025793	迎		MJ025794	missing
MJ025805	返		MJ025806	missing
MJ025851	述		MJ025852	missing
MJ025838	迪		MJ025839	missing
MJ025844	迭		MJ025845	missing
MJ025840	迫		MJ025841	missing
MJ025891	逆		MJ025892	missing
MJ025880	送		MJ025881	missing
MJ025878	退		MJ025879	missing	入力者註：正確には※(右払いを止める)
MJ025871	追		MJ025872	missing
MJ025884	逃	入力者註：兆の左下は突き出ない	MJ025885	missing	入力者註：兆の左下は突き出ない
MJ025861	迷	入力者註：新字の右払いは払う	MJ025862	missing	入力者註：正確には※(旧字の右払いは止める)
MJ025937	逝		MJ025938	missing
MJ025946	造		MJ025947	missing
MJ025944	速		MJ025945	missing
MJ025910	逐		MJ025911	missing
MJ025932	通		MJ025933	missing
MJ025917	逓	なりたち：常用漢字は俗字による。	MJ026083	遞
MJ025919	途		MJ025920	missing
MJ025908	透		MJ025909	missing
MJ025953	連		MJ025954	missing
MJ025993	逸	なりたち：常用漢字は省略形による。	MJ030303	逸
MJ025977	週		MJ025978	missing
MJ025979	進		MJ025980	missing
MJ025972	逮	入力者註：右払いは止める	MJ025973	missing	入力者註：正確には※(右払いを払う)
MJ026034	運		MJ026035	missing
MJ026041	過		MJ026042	missing
MJ026026	遇		MJ026027	missing
MJ026015	遂		MJ026017	missing
MJ027651	随		MJ027689	隨
MJ026060	達		MJ026061	missing
MJ026023	遅	なりたち：常用漢字は省略形による。	MJ026127	遲
MJ026058	道		MJ026059	missing
MJ026039	遍	なりたち：徧の俗字。	MJ026040	missing
MJ026032	遊		MJ026033	missing
MJ026096	遥		MJ026074	遙
MJ026063	違		MJ026062	missing
MJ026086	遠		MJ026087	missing
MJ026094	遣		MJ026095	missing
MJ026114	遮		MJ026116	missing
MJ026112	遭		MJ026113	missing
MJ026105	適		MJ026107	missing
MJ026151	遺		MJ026152	missing
MJ026135	遵	入力者註：酉の横棒は左右につける	MJ026137	missing	入力者註：正確には※(酉の横棒の右を離す)
MJ026146	選		MJ026148	missing
MJ026140	遷		MJ026144	missing
MJ026155	遼		MJ026156	missing
MJ026180	還		MJ026181	missing	入力者註：正確には※(glyphwiki u9084-var-001 つくりの足の形)
MJ026163	避		MJ026164	missing
MJ026239	那		MJ026238	missing
MJ026255	邪		MJ026254	missing
MJ026294	郎	なりたち：常用漢字は俗字による。	MJ026309	郞
MJ026336	郷	なりたち：教育漢字は省略形による。	MJ026367	鄕	なりたち：旧字は、もと卿と同じ。卿の字形を誤ったもの。
MJ026341	都	なりたち：教育漢字は省略形による。	MJ030235	都
MJ026320	部		--------	missing	入力者註：正確には※(立の一画目は横棒)
MJ026438	酌		MJ026437	missing
MJ026451	酔	なりたち：常用漢字は俗字による。	MJ026505	醉	入力者註：正確には※(酉の横棒の右を離す)
MJ026486	酷		MJ026485	missing
MJ007820	医	教育漢字は、もと、別字だが、俗にその［＝醫の］省略形として医を用いていたのによる。;入力者註：正確には※(矢の右払いを止める)	MJ026547	醫	入力者註：正確には※(矢の右払いを止める。酉の横棒の右を離す)
MJ026566	醸	なりたち：常用漢字は省略形の俗字による。	MJ026575	釀	入力者註：正確には※(酉の横棒の右を離す)
MJ026588	釈	なりたち：常用漢字は俗字による。	MJ026590	釋
MJ026617	釣		MJ026616	missing
MJ026757	鉛		MJ026759	missing
MJ026783	鉱	なりたち：教育漢字は省略形の俗字による。	MJ027334	鑛
MJ026731	鉄	なりたち：もと、紩の別体字であるが、俗に鐵の略字として用いられていた。教育漢字はこれによる。	MJ027290	鐵
MJ026802	銃		MJ026801	missing
MJ026849	銭	なりたち：教育漢字は省略形による。	MJ026983	錢
MJ026922	鋭		MJ026853	銳
MJ026930	鋳		MJ027308	鑄
MJ026994	錬	なりたち：常用漢字は省略形による。	MJ027019	鍊
MJ026999	録		MJ026948	錄
MJ027104	鎖		MJ027103	missing
MJ027133	鎮		MJ027132	鎭	入力者註：眞の左下は細くなり折れる
MJ027093	鎌		MJ027092	missing
MJ027198	鏡		MJ027199	missing
MJ027262	鐘		MJ027263	missing
MJ027432	間	なりたち：教育漢字は俗字による。	MJ027431	閒
MJ027448	関		MJ027515	關
MJ027466	閲		MJ027465	閱
MJ027603	陥	なりたち：常用漢字は省略形による。	MJ027619	陷
MJ027576	降		MJ027574	missing
MJ027622	険	なりたち：教育漢字は省略形による。	MJ027691	險
MJ027605	陪		--------	missing	入力者註：正確には※(立の一画目は横棒)
MJ027639	隆	なりたち：常用漢字は省略形による。	MJ030189	隆
MJ027645	隊		MJ027644	missing	入力者註：正確には※(つくりの形)
MJ027657	隔		MJ027656	missing	入力者註：新字が正字ではないか？
MJ027675	隠	なりたち：常用漢字は省略形による。	MJ027698	隱
MJ027669	障		MJ027670	missing
MJ027680	隣		MJ027678	missing
MJ027707	隷		MJ027708	隸
MJ027726	雇		MJ027725	missing
MJ027722	雅		MJ027721	missing
MJ027737	雑	なりたち：教育漢字は省略形による。	MJ027755	雜	なりたち：雜はその変わった形。
MJ013154	旧	なりたち：教育漢字は省略形の俗字による。	MJ021341	舊
MJ027762	難		MJ030304	難
MJ027775	雪		MJ027774	missing
MJ027783	雰		MJ027784	missing
MJ027812	霊	なりたち：常用漢字はその［＝旧字靈の］省略形による。	MJ027886	靈
MJ027897	青	部首解説：教育漢字青は俗字による。	MJ027896	靑
MJ027906	静	なりたち：教育漢字は省略形による。	MJ027913	靜
MJ027950	靴		MJ027951	missing
MJ028122	音		MJ028123	missing
MJ028138	韻		MJ028139	missing
MJ028143	響	なりたち：常用漢字は省略形による。	MJ030306	響
MJ028163	頌		MJ028164	missing
MJ028171	頒		MJ028172	missing
MJ028222	頻	なりたち：もと、瀕の省略形。のち、瀕は別字としてあつかわれるようになった。	MJ030307	頻
MJ028251	顔		MJ028246	顏
MJ028252	顕	なりたち：常用漢字は省略形による。	MJ028281	顯
MJ028263	類	なりたち：教育漢字は省略形による。	MJ030188	類
MJ028273	顧		MJ028272	missing
MJ028338	食		MJ028339	missing
MJ028343	飢	なりたち：饑に通用する。	MJ028342	missing
MJ028364	飯		MJ030240	飯
MJ028381	飼		MJ030241	飼
MJ028382	飽		MJ028383	missing
MJ028405	養		MJ028406	missing
MJ028421	餓		MJ028422	missing
MJ028464	館		MJ030242	館
MJ028649	駅	なりたち：教育漢字は省略形の俗字による。	MJ028825	驛	入力者註：幸は上が長い
MJ028650	駆	なりたち：常用漢字は省略形による。	MJ028795	驅
MJ028659	駐		MJ028660	missing
MJ028734	験	なりたち：教育漢字は省略形による。	MJ028818	驗
MJ028733	騒	なりたち：常用漢字は省略形による。	MJ028777	騷
MJ028770	騰		MJ028769	missing
MJ028823	驚		MJ028824	missing
MJ028879	髄	なりたち：常用漢字は省略形による。	MJ028893	髓
MJ028921	髪	なりたち：常用漢字は誤字による。	MJ028925	髮
MJ027511	闘	なりたち：常用漢字は誤字による。	MJ028989	鬪
MJ029040	魔		MJ029039	missing
MJ029202	鯛		MJ029201	missing
MJ029601	鶏	なりたち：常用漢字は省略形による。	MJ029668	鷄
MJ029563	鵬		MJ029562	missing
MJ009234	塩	なりたち：教育漢字は俗字による。	MJ029777	鹽
MJ029817	麟		MJ029816	missing
MJ029826	麦	部首解説：教育漢字麦は省略形の俗字による。	MJ029824	麥
MJ029855	麻	部首解説：常用漢字麻は𣎳を木の形に改めたもの。	MJ029854	missing
MJ029863	麿		MJ029862	missing
MJ029870	黄		MJ029868	黃
MJ029894	黒	なりたち：教育漢字黒は省略形による。	MJ029892	黑
MJ029905	黛		MJ029906	missing
MJ016349	点	なりたち：教育漢字は省略形の俗字による。	MJ029911	點	入力者註：黒の一番下の横線は右上に払う
MJ030042	鼻	部首解説：教育漢字鼻は俗字による。	MJ030041	missing
MJ013044	斉	部首解説：常用漢字斉は省略形の俗字による。	MJ030059	齊
MJ014837	歯	部首解説：教育漢字歯は省略形による。	MJ030072	齒
MJ030090	齢		MJ030089	齡
MJ019327	竜	部首解説：常用漢字竜は省略形の俗字による。	MJ030124	龍
MJ006424	亀		MJ030156	龜
